# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

i 2 4000 0 0 11053 11053
i 2 4000 0 0 288104 14030
b 4 0 4000 0 39253 1577
p 2 230 867 2903 110848 3870
b 4 0 4000 0 31931 3762
p 2 2060 1300 640 238293 11872
b 4 0 4000 0 1489 649
b 4 0 4000 0 899 604
p 2 3 988 3009 8662 2529
b 4 0 4000 0 865 502
b 4 0 4000 0 810 494
p 2 0 639 3361 6532 2147
b 4 0 4000 0 378 378
b 4 0 4000 0 488 328
p 2 0 268 3732 7350 1787
b 4 0 4000 0 609 414
b 4 0 4000 0 886 463
p 2 0 364 3636 9218 1880
b 4 0 4000 0 691 310
b 4 0 4000 0 344 344
p 2 2 205 3793 7760 1800
b 4 0 4000 0 640 375
b 4 0 4000 0 524 396
p 2 0 214 3786 8233 1786
b 4 0 4000 0 736 332
b 4 0 4000 0 318 318
p 2 1 132 3867 6076 1721
b 4 0 4000 0 1024 385
b 4 0 4000 0 344 344
p 2 29 122 3849 3410 1823
